iyear,imonth,iday,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,motive,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,addnotes,scite1,scite2,scite3,dbsource
2013,9,3,Oregon,Coos Bay,43.375245,-124.224996,,"09/03/2013: An explosive device was discovered and defused at The Prayer Chapel in Coos Bay, Oregon, United States. Veterans United for Non-Religious Memorials claimed responsibility for the incident",0,0,0,3,Bombing/Explosion,,.,15,Religious Figures/Institutions,86,Place of Worship,The Prayer Chapel,Chapel,217,United States,,.,,.,,,,.,,.,,.,,,,.,Veterans United for Non-Religious Memorials,,-99,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,,.,,,,"""Investigation Continues on Coos Bay IEDs,"" KDRV.com, September 20, 2013.","""Explosion at Mingus Park memorial prompts investigation,"" Coos Bay World, August 23, 2013.","""Letter claims responsibility for bombings, threatens further violence,"" TheWorldlink.com, September 11, 2013.",START Primary Collection
2013,8,22,Oregon,Coos Bay,43.366501,-124.21789,The incident occurred near the Mingus Park Vietnam War Memorial,"08/22/2013: An explosive device placed near the Mingus Park Vietnam War Memorial detonated in Coos Bay city, Oregon state, United States. No one was injured in the blast and it is unknown if the memorial was damaged. Veterans for Non-Religious Memorials claimed responsibility for the incident. The group stated that they were against the existence of religious memorials and felt that they were offensive toward non-Christian families.",0,1,0,3,Bombing/Explosion,,.,14,Private Citizens & Property,80,Memorial/Cemetery/Monument,Mingus Park,Vietnam War Memorial Cross,217,United States,,.,,.,,,,.,,.,,.,,,,.,Veterans United for Non-Religious Memorials,,1,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,4,Unknown,-99,Unspecified property was damaged in this attack,,"""Investigation Continues on Coos Bay IEDs,"" KDRV.com, September 20, 2013.","""Explosion at Mingus Park memorial prompts investigation,"" Coos Bay World, August 23, 2013.","""Letter claims responsibility for bombings, threatens further violence,"" TheWorldlink.com, September 11, 2013.",START Primary Collection
2008,2,17,California,Eureka,40.802071,-124.163673,Two fires started in the front and rear of the clinic.,"2/17/2008: Unknown perpetrators ignited two fires within the Six Rivers Planned Parenthood in Eureka, California, United States.  There were no casualties and the abortion clinic only sustained $50 in damages.  Biblical scriptures were taped to the front door of the facility.",0,1,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,Planned Parenthood,Six Rivers Planned Parenthood,217,United States,,.,,.,,,,.,,.,,.,,,,.,Anti-Abortion Activists,To protest the practice of abortion and to sabotage abortion facilities operating in California.,-99,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,Fire ignited with a flammable fluid,0,0,0,0,0,1,3,Minor (likely < $1 million),50,Minimal damage,The fire was first reported at 1:15 PM.  The attack caused no disruptions to operations at the abortion clinic.,"Ryan Burns, ""Planned Parenthood Set on Fire in Apparent Hate Crime,"" Times-Standard, February 18, 2008.","""2008 Incident Report Log,"" Planned Parenthood Federation of America, Inc.",,Anti-Abortion Project 2010
2008,2,17,California,Eureka,40.802071,-124.163673,,"02/17/2008:  Unknown perpetrators set two small fires at a Planned Parenthood facility in Six Rivers, California.  The facility was closed at the time, and there were no casualties and only minor property damage.  No group claimed responsibility for this attack.",0,1,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,"Planned Parenthood Federation of America, Inc.",Planned Parenthood facility,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),,,,"Karen Wilkinson, ?Security tightens at Planned Parenthood,? Eureka Times Standard, February 20, 2008.","Ryan Burns, ?Planned Parenthood set on fire in apparent hate crime,? Eureka Times Standard, February 17, 2008.",,CETIS
1998,9,21,California,Arcata,40.86743,-124.085154,"at Redwood Coast Trucking Company at 2210 Peninsula Drive in Arcata, California","09/21/1998:  Two members of the Animal and Earth Liberation Fronts (ALF and ELF), Jacob Ferguson and Kendall Tankersley, placed eleven incendiary devices in logging trucks in the parking lot of the Redwood Coast Trucking Company in Arcata, California in the United States.  One incendiary ignited, completely destroying the truck and causing a loss of $40,000.  The other ten incendiaries failed to function properly.  There were no casualties in the incident.  After placing the incendiaries at the Redwood trucking company, the two drove to another trucking company nearby and attempted to set arson there as well.  Ferguson and Tankersley were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period. Neither Ferguson nor Tankersley was ever charged or convicted for this particular incident, but both were sentenced for other arsons during the 6 year time period.",1,1,0,7,Facility/Infrastructure Attack,,.,1,Business,,.,Redwood Coast Trucking Company,"trucking and logging company in Arcata, California",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),"The specific motive is unknown, but the group is against logging",2,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"the incendiaries were composed of fuel poured from large containers into 11 one-gallon plastic milk jugs and three timing devices, consisting of wooden matches wrapped around an incense stick and held in place by a rubber band, and then placed  into a single sponge soaked with fuel; the sponge was then placed in the handle of the one-gallon plastic milk jugs",0,0,0,0,0,1,3,Minor (likely < $1 million),40000,destroyed truck completely,"Incident occurred at about 1:30am. Ferguson and Tankersley were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period. Neither Ferguson nor Tankersley was ever charged or convicted for this particular incident, but both were sentenced for other arsons during the 6 year time period.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","Brent L. Smith and Kelly R. Damphousse, "" Patterns of precursor behaviors in the life span of a U.S. environmental terrorist group,"" Criminology & Public Policy, Volume 8, Issue 3, 2009.","""USA v. Tankersley,"" United States Court of Appeals for the Ninth Circuit, August 12, 2008.",Eco Project 2010
1998,9,21,California,Arcata,40.86743,-124.085154,"at Wayne Bare Trucking Company at 5550 West End Road in Arcata, California","09/21/1998:  After placing 11 incendiary devices at the Redwood Coast Trucking Company just an hour or so earlier,  two members of the Animal and Earth Liberation Fronts (ALF and ELF), Jacob Ferguson and Kendall Tankersley, attempted to set arson to the Wayne Bare Trucking Company in Arcata, California in the United States.  However, one incendiary ignited prematurely when Ferguson's gloves caught on fire as he tried to light the incendiary.  The two then abandoned the plan and left.  The fire caused no monetary loss or damage, only pine needles and grass were burned inside the fenced area.  Authorities found  several timing devices, consisting of wooden matches wrapped around an incense stick, in the driveway to the business and on the ground in the fenced lot, as well as a burned remnant of a kitchen sponge along with a cigarette lighter.  There were no casualties in the incident.  Ferguson and Tankersley were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period. Neither Ferguson nor Tankersley was ever charged or convicted for this particular incident, but both were sentenced for other arsons during the 6 year time period.",1,0,0,7,Facility/Infrastructure Attack,,.,1,Business,,.,Wayne Bare Trucking Company,"trucking company in Arcata, California",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),"The specific motive is unknown, but the group is against logging",2,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"an incendiary device consisting of a one-gallon plastic milk jug filled with fuel, and a timing device consisting of wooden matches wrapped around an incense stick, placed in the handle",0,0,0,0,0,0,,.,,,"Incident occurred at about 2:00am. Ferguson and Tankersley were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period. Neither Ferguson nor Tankersley was ever charged or convicted for this particular incident, but both were sentenced for other arsons during the 6 year time period.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","Brent L. Smith and Kelly R. Damphousse, "" Patterns of precursor behaviors in the life span of a U.S. environmental terrorist group,"" Criminology & Public Policy, Volume 8, Issue 3, 2009.","""USA v. Tankersley,"" United States Court of Appeals for the Ninth Circuit, August 12, 2008.",Eco Project 2010
2010,7,27,Oregon,Astoria,46.187884,-123.831253,,"7/27/2010: A farm was firebombed near Astoria, Oregon, United States.  Members of the Animal Liberation Front (ALF) claimed responsibility for the attack, stating that the farm was an active mink farm; however, authorities state that the farm had been inactive due to previous attacks.  ALF also stated that the attack consisted of ""eight incendiary devices"", which caused damage to vehicles and buildings.  There were no reports of injuries.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,9,Farm/Ranch,Mink Farm,The Ylipelto Mink Farm near Astoria was targeted,217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),"Specific motive is unknown; however, members of the Animal Liberation Front (ALF) released a statement implying that the farm was still active.",-99,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,4,Unknown,,,"One source implied that the incident may have been perpetrated for insurance purposes; however, the source is less credible.","""Firebombing claimed by animal rights activists"", The World, July 29, 2010","Peter Young, ""Fire & Explosions Rock Former Mink Farm"", Voice of the Voiceless- Journal of the American Liberation Movement, July 28, 2010.",,UMD Miscellaneous
2001,1,2,Oregon,Glendale,42.738006,-123.417103,"at the Superior Lumber Company at 2695 Glendale Valley Road in Glendale, OR","01/02/2001: Five members of the Animal and Earth Liberations Fronts (ALF and ELF),  Jacob Ferguson, Stanislas Meyerhoff, Kevin Tubbs, Suzanne Savoie, and Daniel McGowan, caused arson to the Superior Lumber Company in Glendale, Oregon in the United States, by placing two incendiary devices containing ignitable liquids at the west side of the building.  The arson caused $1,041,696 in damage to the office. There were no casualties in the incident.  The next day, the perpetrators sent out a communiqu?, claiming responsibility for the arson in the name of the ELF, stating that the Superior Lumber Company was a ""typical earth raper contributing to the ecological destruction of the Northwest.""  The company was targeted due to its involvement in the purchase of timber.  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,5,Industrial/Textiles/Factory,Superior Lumber Company,"lumber company in Glendale, OR",217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),The company was targeted due to its involvement in timber sales.,5,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"timed incendiary devices, made of two five-gallon plastic containers filled with diesel fuel",0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1041696,,"The fire was discovered at about 2:00am.  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period. Ferguson became a government witness and in return, was sentenced to 2 years probation for his crimes during this 6 year period. Tubbs was sentenced to 12 years and 7 months in prison, Meyerhoff was sentenced to 13 years in prison, Savoie was sentenced to 4 years and 3 months, and McGowan to 7 years, for their respective involvement in various incidents over the course of the 6 years.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","FBI, ""Terrorism 2000/2001,""FBI, DOJ, 2001.","Legal Affairs Editors, ""Animal Liberation Front and Earth Liberation Front Members Sentenced in Oregon for Acts of Eco-Terrorism in Five Western States,"" PR Newswire Association LLC,  Public Interest Services, June 5, 2007.",Eco Project 2010
1996,1,1,Oregon,Grants Pass,42.44321,-123.324639,,,0,0,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,Planned Parenthood of SW Oregon,Clinic,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,8,Incendiary,,.,,.,,.,,.,,.,,.,,.,,0,,0,,,1,,.,,,,,,,PGIS
1999,12,25,Oregon,Monmouth,44.846329,-123.229326,at Boise Cascade wood products company at 450 N. Pacific Highway,"05/09/1999: Four members of the Earth and Animal Liberations Fronts (ELF and ALF),  Jacob Ferguson, Stanislas Meyerhoff, Josephine Overaker, and Chelsea Gerlach, caused arson to the Boise Cascade wood products company in Monmouth, Oregon in the Unites States.  The group placed two time-delayed electric incendiary devices on the building's exterior, at opposite corners of the building.  The blasts caused the building to be completely destroyed, with damage estimated at $1,689,593.  There were no casualties in the incident.  The perpetrators sent out a communiqu?, attributing the incident to ELF, and stating that Boise Cascade ravaged forests in the Pacific Northwest and the incident should be a warning ""to all greedy multinational corporations who don't respect their ecosystems."" The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,,.,Boise Cascade,"wood products company in Monmouth, OR",217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),"The company was a large corporation involved in timber sales, and the perpetrators were against logging.",4,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"buckets of fuel, placed in black garbage bags and then in large boxes wrapped in Christmas paper to further conceal them",0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),1689593,building destroyed,"Incident occurred between 1:00am and 4:00am.  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.  Ferguson became a government witness and in return, was sentenced to 2 years probation for his crimes during this 6 year period.  Meyerhoff was sentenced to 13 years in prison; Gerlach was sentenced to 9 years; Overtaker remained fugitive.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","FBI, ""Terrorism in the United States: 1999,"" Counterterrosism Threat Assessment and Warning Unit, Counterterrorism Division, FBI, DOJ, 1999.","Legal Affairs Editors, ""Animal Liberation Front and Earth Liberation Front Members Sentenced in Oregon for Acts of Eco-Terrorism in Five Western States,"" PR Newswire Association LLC,  Public Interest Services, June 5, 2007.",Eco Project 2010
